title,director,cast,country,date_added,release_year,duration
Loev,Sudhanshu Saria,"Shiv Pandit, Dhruv Ganesh, Siddharth Menon, Rishabh Chaddha",India,"May 1, 2017",2015,89 min
Best.Worst.Weekend.Ever.,,"Sam Ashe Arnold, Cole Sand, Brianna Reed, Brittany Garms, Alison Becker, Larry Bates, Tiffany Espensen, Rachel Gage, Matt Battaglia, Affion Crockett",United States,"October 19, 2018",2018,1 Season
Octonauts,,"Keith Wickham, Jo Wyatt, Ross Breen, Simon Greenall, Paul Panting, Rob Rackstraw, Teresa Gallagher, Shelley Longworth","United States, Ireland, United Kingdom, India","December 1, 2020",2015,4 Seasons
Savages,Oliver Stone,"Taylor Kitsch, Aaron Taylor-Johnson, Blake Lively, John Travolta, Benicio Del Toro, Salma Hayek, Demián Bichir, Sandra Echeverría, Emile Hirsch, Joaquín Cosío, Ali Wong",United States,"March 16, 2021",2012,131 min
Sprinter,Storm Saulter,"Dale Elliott, Kadeem Wilson, Dennis Titus, David Alan Grier, Shantol Jackson, Lorraine Toussaint, Bryshere Gray, Quera South, Aiden Moodie","Jamaica, United States","April 15, 2020",2018,112 min
The Story of God with Morgan Freeman,,Morgan Freeman,United States," February 1, 2019",2017,2 Seasons
Motu Patlu in Hong Kong: Kung Fu Kings 3,Suhas Kadav,"Saurav Chakraborty, Sankalp Rastogi, Anamaya Varma, Aditya Raaj, Manoj Pandey",,"April 13, 2021",2017,84 min
Monster High: Ghouls Rule,"Mike Fetterly, Steve Sacks","Laura Bailey, Hank Banks, Cam Clarke, Erin Fitzgerald, Dee Dee Green, Kate Higgins, Andrew Duncan",United States,"March 1, 2018",2012,71 min
Bondi Rescue,,"Andrew Günsberg, Dean Gladstone, Bruce Hopkins, Trent 'Maxi' Maxwell, Andrew Reid, Ryan Clark, Chris Chapman, Anthony 'Harries' Caroll",Australia," November 1, 2019",2016,1 Season
Game Over (Telugu Version),Ashwin Saravanan,"Taapsee Pannu, Vinodhini, Parvathi T, Ramya Subramanian, Sanchana Natarajan, Anish Kuruvilla, David Solomon Raja",,"August 21, 2019",2019,98 min
Well-Intended Love,,"Xu Kaicheng, Simona Wang, Ian Yi, Huang Qian Shuo, Yang Hao Ming, Liu Jia Xi",China,"April 1, 2020",2020,2 Seasons
Candy Jar,Ben Shelton,"Christina Hendricks, Helen Hunt, Uzo Aduba, Sami Gayle, Jacob Latimore",United States,"April 27, 2018",2018,93 min
Super Monsters,,"Elyse Maloway, Vincent Tong, Erin Matthews, Andrea Libman, Alessandro Juliani, Nicole Anthony, Ian James Corlett, Britt McKillip, Kathleen Barr, Diana Kaarina",,"October 4, 2019",2019,3 Seasons
All My Friends Are Dead,Jan Belcl,"Julia Wieniawa-Narkiewicz, Mateusz Więcławek, Adam Graf Turczyk, Monika Krzywkowska, Nikodem Rozbicki, Kamil Piotrowski, Adam Bobik, Paulina Gałązka, Magdalena Perlińska, Katarzyna Chojnacka, Konrad Żygadło, Szymon Roszak, Michał Sikorski, Aleksandra Pisula, Wojciech Łozowski, Michał Meyer, Adam Woronowicz",Poland,"February 3, 2021",2020,97 min
You're Everything To Me,Tolga Örnek,"Tolga Çevik, Cengiz Bozkurt, Melis Birkan, Tuna Çevik",Turkey,"March 12, 2021",2016,107 min
Satrangi,,Deepali Sahay,,"April 1, 2017",2014,1 Season
June & Kopi,Noviandra Santosa,"Acha Septriasa, Ryan Delon, Makayla Rose Hilli, TJ",Indonesia,"January 28, 2021",2021,90 min
Cam,Daniel Goldhaber,"Madeline Brewer, Patch Darragh, Melora Walters, Devin Druid, Imani Hakim, Michael Dempsey, Flora Diaz, Samantha Robinson, Jessica Parker Kennedy, Quei Tann",United States,"November 16, 2018",2018,95 min
The Parisian Agency: Exclusive Properties,,"Olivier Kretz, Sandrine Kretz, Valentin Kretz, Martin Kretz, Louis Kretz",,"June 23, 2021",2021,1 Season
I Am Maris,Laura VanZee Taylor,Maris Degener,United States,"April 1, 2019",2018,54 min
Earth to Luna!,,"Angelina Carballo, Raul-Gomez Pina, Eric Anderson",Brazil,"April 10, 2020",2014,1 Season
One 2 Ka 4,Shashilal K. Nair,"Shah Rukh Khan, Juhi Chawla, Jackie Shroff, Nirmal Pandey, Dilip Joshi, Sahila Chaddha, Suresh Chatwal, Bharat Dabholkar, Baby Gazala, Akash Khurana",India,"March 15, 2017",2001,160 min
Queen,Vikas Bahl,"Kangana Ranaut, Rajkummar Rao, Lisa Haydon, Mish Boyko, Jeffrey Chee Eng Ho, Marco Canadea, Sabeeka Imam, Yogendra Tikku",India,"July 5, 2020",2014,138 min
Game Winning Hit,,"Lego Lee, Alice Ko, Afalean Lu, Tsai Chen-nan, Wang Chuan, Leiya Gao, Charlize Lin",Taiwan,"September 1, 2016",2009,1 Season
Bard of Blood,,"Emraan Hashmi, Viineet Kumar, Sobhita Dhulipala, Jaideep Ahlawat, Kirti Kulhari, Sohum Shah, Rajit Kapoor, Danish Hussain",India,"September 27, 2019",2019,1 Season
Shrek the Musical,Jason Moore,"Brian d'Arcy James, Daniel Breaker, Sutton Foster, Christopher Sieber, John Tartaglia, Rozi Baker, Ryan Duncan, Leah Greenhaus, Chris Hoch, Marissa O'Donnell, Denny Paschall",United States,"December 29, 2013",2013,130 min
The Burial of Kojo,"Sam ""Blitz"" Bazawule","Cynthia Dankwa, Ama K. Abebrese, Joseph Otsiman, Kobina Amissah Sam, Mamley Djangmah, Henry Adofo, Anima Misa, Brian Angels","Ghana, United States","March 31, 2019",2018,81 min
Fall in Love with Me,,"Aaron Yan, Tia Lee, Jack Lee, Katherine Wang, Beatrice Fang, Vince Kao, Chen Bor Jeng",Taiwan,"October 1, 2016",2014,1 Season
Taal,Subhash Ghai,"Anil Kapoor, Aishwarya Rai Bachchan, Akshaye Khanna, Amrish Puri, Alok Nath, Mita Vasisht, Saurabh Shukla, Supriya Karnik",India,"March 1, 2018",1999,177 min
Aiyaary,Neeraj Pandey,"Sidharth Malhotra, Manoj Bajpayee, Rakul Preet Singh, Pooja Chopra, Adil Hussain, Kumud Mishra, Naseeruddin Shah, Anupam Kher, Vikram Gokhale, Juhi Babbar",India,"May 15, 2018",2018,158 min
Narcos: Mexico,,"Michael Peña, Diego Luna, Tenoch Huerta, Joaquin Cosio, José María Yazpik, Matt Letscher, Alyssa Diaz","Mexico, United States","February 13, 2020",2020,2 Seasons
Gangs of Hassepur,,"Ragini Khanna, Mandira Bedi, Tanishaa Mukerji",India,"April 15, 2017",2014,1 Season
Set Up,Mike Gunther,"50 Cent, Ryan Phillippe, Bruce Willis, Rory Markham, Jenna Dewan, Brett Granstaff, Randy Couture, Susie Abromeit, Ron Turner, James Remar",United States,"January 10, 2020",2011,85 min
Terrace House: Aloha State,,"You, Reina Triendl, Ryota Yamasato, Yoshimi Tokui, Azusa Babazono, Kentaro","United States, Japan","September 26, 2017",2017,4 Seasons
Battle Drone,Mitch Gould,"Louis Mandylor, Daniel Southworth, Richard Alan Reid, Oleg Taktarov, Natassia Malthe, Jason Earles, Dominique Swain, Michael Paré",United States,"March 1, 2018",2018,94 min
Diagnosis,,Lisa Sanders,United States,"August 16, 2019",2019,1 Season
Dave Chappelle,Stan Lathan,Dave Chappelle,United States,"March 21, 2017",2017,1 Season
The Cakemaker,Ofir Raul Graizer,"Sarah Adler, Tim Kalkhof, Roy Miller, Zohar Shtrauss, Sandra Sade, Tamir Ben-Yehuda, Stephanie Stremler, Tagel Eliyahu","Israel, Germany","December 4, 2018",2017,109 min
Natalie Palamides: Nate - A One Man Show,Phil Burgers,Natalie Palamides,United States,"December 1, 2020",2020,60 min
3 Days to Kill,McG,"Kevin Costner, Amber Heard, Hailee Steinfeld, Connie Nielsen, Tómas Lemarquis, Richard Sammel, Marc Andréoni, Bruno Ricci, Jonas Bloquet, Eriq Ebouaney","United States, France, Serbia","December 1, 2020",2014,117 min
Feel Rich,Peter Spirer,"Quincy Jones, Common, Russell Simmons, Fat Joe, Paul Wall, Quincy Jones III",United States,"August 23, 2017",2017,70 min
Wake Up,,"Jag Huang, Chris Wu, Tiffany Hsu, Michael Huang, Lego Li, Summer Meng",,"March 31, 2018",2017,2 Seasons
The Devil All The Time,Antonio Campos,"Tom Holland, Bill Skarsgård, Riley Keough, Robert Pattinson, Mia Wasikowska, Jason Clarke, Sebastian Stan, Haley Bennett, Harry Melling, Eliza Scanlen",United States,"September 16, 2020",2020,139 min
Coraline,Henry Selick,"Dakota Fanning, Teri Hatcher, John Hodgman, Jennifer Saunders, Dawn French, Keith David, Robert Bailey Jr., Ian McShane",United States,"March 16, 2017",2009,101 min
R.L. Stine's Mostly Ghostly,Richard Correll,"Madison Pettis, Sterling Beaumon, Luke Benward, Brian Stepanek, David DeLuise, Kim Rhodes, Adam Hicks, Ali Lohan, Sabrina Bryan, Rachel Winfree, Diego Acuña",United States,"August 1, 2018",2008,98 min
Drishyam,Nishikant Kamat,"Ajay Devgn, Shriya Saran, Tabu, Rajat Kapoor, Ishita Dutta, Mrunal Jadhav, Prasanna Ketkar, Yogesh Sonam, Prathamesh Parab, Rishabh Chaddha",India,"July 5, 2020",2015,162 min
Ije: The Journey,Chineze Anyaene,"Genevieve Nnaji, Omotola Jalade-Ekeinde, Odalys Garcia, Ulrich Que, Jeff Swarthout, Clem Ohameze, Ann D. Carey, Anahit Setian, Danielle Soibelman, Jon Morgan Woodward","United States, Nigeria","August 3, 2021",2010,106 min
LAST HOPE,,"Tomoaki Maeno, Kana Hanazawa, Kenjiro Tsuda, Nao Toyama, Yuma Uchida, Unsho Ishizuka, Yuuichirou Umehara, Ai Kayano",Japan,"December 21, 2018",2018,2 Seasons
Crime Stories: India Detectives,,,,"September 22, 2021",2021,1 Season
Ali Wong: Hard Knock Wife,Jay Karas,Ali Wong,United States,"May 13, 2018",2018,64 min
The Congress,Ari Folman,"Robin Wright, Harvey Keitel, Jon Hamm, Paul Giamatti, Kodi Smit-McPhee, Danny Huston, Sami Gayle, Michael Stahl-David, Michael Landes, Sarah Shahi","Israel, Germany, Poland, Luxembourg, Belgium, France, United States","August 23, 2019",2013,123 min
Jerry Before Seinfeld,Michael Bonfiglio,Jerry Seinfeld,United States,"September 19, 2017",2017,62 min
Community,,"Ken Jeong, Jim Rash, Donald Glover, Joel McHale, Gillian Jacobs, Danny Pudi, Alison Brie, Chevy Chase, Yvette Nicole Brown",United States,"April 1, 2020",2015,6 Seasons
Christian Mingle,Corbin Bernsen,"Lacey Chabert, Jonathan Patrick Moore, Saidah Arrika Ekulona, Stephen Tobolowsky, John O'Hurley, David Keith, Morgan Fairchild, Corbin Bernsen",United States,"June 6, 2019",2014,99 min
Wrong Kind of Black,,"Clarence Ryan, Aaron L. McGrath, Lisa Flanagan, Tommy Lewis, Nilbi Yasserie, Christopher Ketchup, Boori Monty Pryor, Jacek Koman, Colin Lane, Arthur Angel, Toby Truslove",Australia,"November 6, 2020",2018,1 Season
Hard Kill,Matt Eskandari,"Jesse Metcalfe, Bruce Willis, Natalie Eva Marie, Lala Kent, Texas Battle, Swen Temmel, Sergio Rizzuto, Tyler Jon Olson, Jon Galanis",United States,"November 23, 2020",2020,98 min
Night Comes On,Jordana Spiro,"Dominique Fishback, Tatum Marilyn Hall, Nastashia Fuller, Angel Bismark Curiel, John Earl Jelks, Max Casella, James McDaniel, Cymbal Byrd",United States,"August 27, 2020",2018,87 min
No Other Woman,Ruel S. Bayani,"Anne Curtis, Derek Ramsay, Cristine Reyes, Tirso Cruz III, Carmi Martin, John Arcilla, Marlann Flores, Ron Morales, Kat Alano",Philippines,"March 4, 2019",2011,103 min
Spiritual House,,"Hiroyuki Ehara, Miki Sumiyoshi, Sato Kondo, Kazuhiro Kiyohara, Noriko Sakai, Moe Oshikiri, Homare Sawa, Mariko Hayashi",,"May 1, 2018",2017,1 Season
Secrets of Althorp - The Spencers,Kasia Uscinska,Samuel West,United States,"April 22, 2017",2013,54 min
Pup Star,Robert Vince,"Makenzie Moss, Jed Rees, David DeLuise, Carla Jimenez, Tom Everett Scott, Diedrich Bader, George Newbern, Bonnie Somerville, John Ratzenberger",Canada,"October 29, 2016",2016,92 min
Battle Creek,,"Josh Duhamel, Dean Winters, Aubrey Dollar, Edward Fordham Jr., Kal Penn, Janet McTeer, Liza Lapira, Damon Herriman, Meredith Eaton",United States,"December 31, 2015",2015,1 Season
Kath and Kim,,"Jane Turner, Gina Riley, Glenn Robbins, Peter Rowsthorn, Magda Szubanski",Australia,"July 28, 2018",2007,6 Seasons
Vodka Diaries,Kushal Srivastava,"Kay Kay Menon, Raima Sen, Mandira Bedi, Sharib Hashmi, Rishi Bhutani, Herry Tangri, Vaishnavi Dhanraj, Swati Rajput",India,"December 31, 2019",2018,113 min
ONE PIECE,,"Mayumi Tanaka, Akemi Okamura, Kazuya Nakai, Kappei Yamaguchi, Hiroaki Hirata, Ikue Otani, Yuriko Yamaguchi, Kazuki Yao, Cho",Japan,"June 12, 2020",2002,4 Seasons
Gabru: Hip Hop Revolution,,"Amol Parashar, Harleen Sethi, Chaitanya Sharma, Priya Malik, Pratik Dixit",India,"June 1, 2018",2018,1 Season
Bobby Jasoos,Samar Shaikh,"Vidya Balan, Ali Fazal, Supriya Pathak, Tanvi Azmi, Zarina Wahab, Kiran Kumar, Rajendra Gupta, Arjan Bajwa, Prasad Barve, Aakash Dahiya",India,"December 31, 2020",2014,116 min
Monster House,Gil Kenan,"Mitchel Musso, Sam Lerner, Spencer Locke, Steve Buscemi, Kathleen Turner, Jason Lee, Jon Heder, Maggie Gyllenhaal, Catherine O'Hara, Fred Willard, Nick Cannon, Kevin James",United States,"December 1, 2020",2006,91 min
The Gentleman Driver,Mario Mattei,,United States,"January 31, 2019",2018,83 min
Danger Mouse,,"Alexander Armstrong, Kevin Eldon, Stephen Fry, Ed Gaughan, Shauna Macdonald, Dave Lamb, Morwenna Banks",United Kingdom,"November 9, 2016",2016,2 Seasons
Kings,Deniz Gamze Ergüven,"Halle Berry, Daniel Craig, Lamar Johnson, Kaalan Walker, Rachel Hilson, Issac Ryan Brown, Callan Farris, Serenity Reign Brown, Reece Cody, Aiden Akpan","France, Belgium, China, United States","October 29, 2018",2017,87 min
Gatao - The Last Stray,Ray Jiang,"Cheng Jen-shuo, Nikki Hsieh, Jack Kao, Lung Shao-hua, Alan Kuo, Alex Ko, Huang Shang-ho, Gary Tang, Chang Zhang-xing, Panda Wu, Samuel Ku, Justin Sheng",,"May 26, 2021",2021,120 min
Muzaffarnagar Baaqi Hai,Nakul Singh Sawhney,,India,"November 15, 2018",2015,136 min
Lupin the 3rd: The Castle of Cagliostro: Special Edition,Hayao Miyazaki,"Yasuo Yamada, Kiyoshi Kobayashi, Eiko Masuyama, Makio Inoue, Goro Naya, Sumi Shimamoto, Taro Ishida, Kohei Miyauchi, Ichiro Nagai",Japan,"May 15, 2018",1979,100 min
Nailed It! Spain,,"La Terremoto de Alcorcón, Christian Escribà",Spain,"October 25, 2019",2019,1 Season
Revenge of the Green Dragons,"Andrew Lau Wai-Keung, Andrew Loo","Ray Liotta, Justin Chon, Kevin Wu, Harry Shum Jr., Eugenia Yuan, Leonard Wu, Jin Auyeung, Jon Kit Lee, Shuya Chang, Geoff Pierson","Hong Kong, United States","July 21, 2018",2014,95 min
Winter Sun,,"Şükrü Özyıldız, Aslı Enver, Şenay Gürler, Başak Parlak, Mahir Günşiray, Hakan Boyav, Hakan Gerçek, Berrak Kuş, Gamze Süner Atay, Mehmet Esen",Turkey,"August 1, 2017",2014,1 Season
Sword Art Online,,"Yoshitsugu Matsuoka, Haruka Tomatsu, Ayana Taketatsu, Kanae Ito, Rina Hidaka, Ayahi Takagaki, Hiroaki Hirata, Hiroki Yasumoto, Saori Hayami, Koichi Yamadera",Japan,"October 1, 2020",2018,3 Seasons
The Tuxedo,Kevin Donovan,"Jackie Chan, Jennifer Love Hewitt, Jason Isaacs, Debi Mazar, Ritchie Coster, Peter Stormare, Mia Cottet, Romany Malco, Daniel Kash",United States,"November 1, 2019",2002,99 min
Little Singham: Kaal Ka Badla,Prakash Satam,"Anamaya Verma, Arushi Talwar, Ganesh Divekar, Jigna Bhardwaj, Krishna Dasadiya, Neshma Chemburkar, Manoj Pandey, Parminder Ghumman, Pranav Vaidya, Saumya Daan, Sonal Kaushal, Sumriddhi Shukla",,"August 19, 2020",2020,70 min
Black Mirror,,"Jesse Plemons, Cristin Milioti, Jimmi Simpson, Rosemarie DeWitt, Douglas Hodge, Andrea Riseborough, Brenna Harding, Owen Teague, Andrew Gower, Kiran Sonia Sawar, Georgina Campbell, Joe Cole, Maxine Peake, Jake Davies, Clint Dyer, Letitia Wright, Babs Olusanmokun, Bryce Dallas Howard, Alice Eve, Michael Kelly, Cherry Jones, Gugu Mbatha-Raw, Mackenzie Davis, Wyatt Russell, Benedict Wong, Kelly Macdonald, Faye Marsay, Madeline Brewer, Hannah John-Kamen, Malachi Kirby, Alex Lawther, Jerome Flynn, James Norton, Rory Kinnear, Lindsay Duncan, Daniel Kaluuya, Jessica Brown Findlay, Rupert Everett, Toby Kebbell, Jodie Whittaker, Hayley Atwell, Domhnall Gleeson, Lenora Crichlow, Michael Smiley, Daniel Rigby, Chloe Pirrie, Jason Flemyng, Jon Hamm, Oona Chaplin, Rafe Spall",United Kingdom,"June 5, 2019",2019,5 Seasons
Lucky Days,,"Chris Wang, Tammy Chen, Fan Kuang-yao, Chen Bor Jeng, Lin Mei-hsiu, Ma Nien-hsien",China,"September 1, 2016",2010,1 Season
The Lost Brother,Israel Adrián Caetano,"Leonardo Sbaraglia, Daniel Hendler, Ángela Molina, Alián Devetac, Pablo Cedrón, Alejandra Flechner","Argentina, Uruguay, Spain, France","September 1, 2017",2017,113 min
Trotro,,,France,"July 1, 2020",2004,1 Season
Ricky Gervais: Humanity,John L. Spencer,Ricky Gervais,United Kingdom,"March 13, 2018",2018,79 min
Love and Hong Kong,,"Eiko Koike, Ryo Yoshizawa, Fumika Baba, Moga Mogami, Tomo Yanagishita, Kaoru Nagata, Ryo Iwamatsu",Japan,"January 20, 2018",2017,1 Season
The Arbitration,Niyi Akinmolayan,"Adesua Etomi, O.C. Ukeje, Ireti Doyle, Sola Fosudo, Somkele Iyamah, Lota Chukwu, Gregory Ojefua, Beverly Naya, Bimbo Ademoye, Pius Fatoke",Nigeria,"February 26, 2020",2016,101 min
Rafinha Bastos: Ultimatum,,Rafinha Bastos,Brazil,"September 21, 2018",2018,63 min
The Bittersweet,D Ho,"Min-ho Lee, Zhu Xuan",China,"November 1, 2017",2017,98 min
Bebe's Kids,Bruce W. Smith,"Faizon Love, Vanessa Bell Calloway, Wayne Collins, Jonell Green, Marques Houston, Tone-Loc, Myra J., Nell Carter",United States,"November 20, 2019",1992,73 min
Kulipari: An Army of Frogs,,"Mark Hamill, Keith David, Wendie Malick, Josh Keaton, Mikey Kelley, Phil LaMarr, Laraine Newman, Jess Harnell, Charles Adler, Amy Margolis, Cree Summer, Lacey Chabert, Rolonda Watts, Kevin Michael Richardson, Candi Milo",United States,"September 2, 2016",2016,1 Season
Splatter,Joe Dante,"Corey Feldman, Tony Todd, Tara Leigh, Erin Way, Mark Alan, Stuart Pankin",United States,"November 18, 2009",2009,29 min
Magical Andes,,,"Uruguay, Germany","April 1, 2021",2021,2 Seasons
Reggie Yates Outside Man,,Reggie Yates,United Kingdom," December 15, 2017",2017,2 Seasons
Tell Me When,Gerardo Gatica,"Jesús Zavala, Ximena Romo, Verónica Castro, José Carlos Ruiz, Gabriel Nuncio, Rosa María Bianchi, Héctor Bonilla, Andrés Almeida",Mexico,"April 21, 2021",2021,97 min
Wild District,,"Juan Pablo Raba, Cristina Umaña, Camila Sodi, Christian Tappán, Juan Fernando Sánchez, Juan Sebastián Calero, Paula Castaño, Nicolás Quiroga, Alina Lozano, Carolina Acevedo, Julio César Pachón, Roberto Cano",Colombia,"November 8, 2019",2019,2 Seasons
Inconceivable,Jonathan Baker,"Gina Gershon, Faye Dunaway, Nicolas Cage, Nicky Whelan, Natalie Eva Marie, Jonathan Baker, James Van Patten","United Kingdom, United States","March 1, 2018",2017,106 min
Daybreak,,"Colin Ford, Alyvia Alyn Lind, Sophie Simnett, Austin Crute, Cody Kearsley, Jeanté Godlock, Gregory Kasyan, Krysta Rodriguez, Matthew Broderick",United States,"October 24, 2019",2019,1 Season
Still,"Chatchai Katenut, Manussa Vorasingha, Tanwarin Sukkhapisit, Poj Arnon","Mai Charoenpura, Akara Amarttayakul, Supakson Chaimongkol, Kachapa Toncharoen, Wiradit Srimalai, Vasana Chalakorn, Ratchanont Sukpragawp, Arisara Thongborisut",Thailand,"September 14, 2018",2010,100 min
Galavant,,"Joshua Sasse, Timothy Omundson, Vinnie Jones, Mallory Jansen, Karen David, Luke Youngblood",United States," September 7, 2016",2016,2 Seasons
Angry Birds,,"Antti Pääkkönen, Heljä Heikkinen, Lynne Guaglione, Pasi Ruohonen, Rauno Ahonen",Finland,"September 16, 2021",2018,1 Season
Maharakshak: Aryan,,"Aakarshan Singh, Vikramjeet Virk, Reena Aggarwal, Khalid Siddiqui, Abigail Jain, Rishabh Jain",India,"April 1, 2017",2014,1 Season
Jaguar,,"Blanca Suárez, Iván Marcos, Óscar Casas, Adrián Lastra, Francesc Garrido, Stefan Weinert, Julia Möller, Alicia Chojnowski",,"September 22, 2021",2021,1 Season
Becoming Champions,,,Mexico,"August 1, 2018",2018,1 Season
Code Geass: Lelouch of the Rebellion,,"Jun Fukuyama, Takahiro Sakurai, Yukana, Ami Koshimizu, Kaori Nazuka, Fumiko Orikasa, Sayaka Ohara, Noriaki Sugiyama, Takahiro Mizushima, Soichiro Hoshi, Yuko Goto",Japan,"May 1, 2019",2008,2 Seasons
Strong,,Gabrielle Reece,United States,"October 1, 2018",2016,1 Season
Chocolate,,"Ha Ji-won, Yoon Kye-sang, Jang Seung-jo, Kang Bu-ja, Lee Jae-ryong, Min Jin-woong, Kim Won-hae, Yoo Teo",South Korea,"November 30, 2019",2019,1 Season
Garfield's Pet Force,Mark A.Z. Dippé,"Frank Welker, Vanessa Marshall, Gregg Berger, Wally Wingert, Audrey Wasilewski, Jason Marsden, Fred Tatasciore, Stephen Stanton, Jennifer Darling, Neil Ross, Greg Eagles, Cathy Cavadini, David Michie, Greg Finley","South Korea, United States","January 1, 2020",2009,78 min
Al acecho,Francisco D'Eufemia,"Rodrigo de la Serna, Belen Blanco, Walter Jakob, Facundo Aquinos, Patricia Calisaya",Argentina,"January 12, 2021",2019,81 min
She's Out of My League,Jim Field Smith,"Jay Baruchel, Alice Eve, T.J. Miller, Mike Vogel, Nate Torrence, Krysten Ritter, Geoff Stults, Lindsay Sloane, Andrew Daly, Jasika Nicole, Kyle Bornheimer",United States,"July 1, 2021",2010,106 min
A Thousand Goodnights,,"Cindy Lien, Nicholas Teo, Yao Ai-ning, Li Chung-lin, Chen Bor-jeng, Miao Ke-li",Taiwan,"June 1, 2019",2019,1 Season
StartUp,,"Adam Brody, Edi Gathegi, Otmara Marrero, Martin Freeman, Ron Perlman, Addison Timlin, Mira Sorvino",United States,"May 4, 2021",2018,3 Seasons
Schulz Saves America,Alexx Media,Andrew Schulz,United States,"December 17, 2020",2020,1 Season
Life of An Outcast,Pawan K Shrivastava,"Ravi Bhushan Bhartiya, Shalini Mohan, Bhaskar Jha, Manohar Pandey, Siddharth Bharadwaj, Jay Shanker Pandey, Deepak Jha, Komal Singh",India,"February 25, 2019",2018,80 min
Hillbilly Elegy,Ron Howard,"Amy Adams, Glenn Close, Gabriel Basso, Haley Bennett, Freida Pinto, Bo Hopkins, Owen Asztalos",United States,"November 24, 2020",2020,117 min
Kannum Kannum Kollaiyadithaal,Desingh Periyasamy,"Dulquer Salmaan, Ritu Varma, Rakshan, Niranjani, Gautham Menon, Anish Kuruvilla",India,"March 29, 2020",2020,160 min
George Lopez: We'll Do It For Half,Troy Miller,George Lopez,United States,"June 30, 2020",2020,52 min
Naruto,Hayato Date,"Junko Takeuchi, Chie Nakamura, Noriaki Sugiyama, Kazuhiko Inoue, Toshihiko Seki, Hidekatsu Shibata, Masako Katsuki, Nana Mizuki",Japan,"September 1, 2019",2006,9 Seasons
The 4th Company,"Mitzi Vanessa Arreola, Amir Galvan Cervera","Adrian Ladron, Andoni Gracia, Hernán Mendoza, Gabino Rodríguez, Darío T. Pie, Manuel Ojeda","Mexico, Spain","April 6, 2018",2016,117 min
Killa,Avinash Arun,"Amruta Subhash, Archit Deodhar, Parth Bhalerao, Gaurish Gawade, Atharva Upasni, Swandand Raikar, Shrikant Yadav, Umesh Jagtap, Shivalati Bokil, Jui Kahate",India,"April 1, 2017",2014,107 min
Saheb Bibi Golaam,Pratim D. Gupta,"Anjan Dutt, Swastika Mukherjee, Ritwick Chakraborty, Parno Mittra, Bikram Chatterjee, Sohag Sen, Sumanta Mukherjee, Arun Mukhopadhyay",India,"January 1, 2017",2016,118 min
Mobile Suit Gundam UC,,"Kouki Uchiyama, Ayumi Fujimura, Hiro Shimono, Haruka Tomatsu, Daisuke Namikawa, Megumi Toyoguchi, Yuhko Kaida, Shuichi Ikeda, Tetsuya Kakihara",Japan,"September 20, 2018",2014,1 Season
Yanda Kartavya Aahe,Kedar Shinde,"Ankush Choudhary, Smita Shewale, Mohan Joshi, Atmaram Bhende, Asha Bhende",India,"January 1, 2018",2006,151 min
The Pursuit,John Papola,Arthur Brooks,United States,"August 7, 2019",2019,76 min
Ordinary Heroes,,"Giorgio Tirabassi, Marco Bocci, Cristiana Capotondi, Greta Scarano, Michela Cescon, Diane Fleri, Carlo Calderone, Claudio Gioè, Romina Mondello, Orlando Cinque, Luigi Maria Burruano, Riccardo Scamarcio, Lorenza Indovina, Ivana Lotito, Pierfrancesco Poggi, Marco Leonardi, Anna Ferruzzo, Peppino Mazzotta, Giorgio Marchesi",,"October 11, 2018",2018,1 Season
Ingobernable,,"Kate del Castillo, Eréndira Ibarra, Alberto Guerra, Erik Hayser, Luis Roberto Guzmán, Álvaro Guerrero, Aida López, Fernando Luján, Maxi Iglesias, Marianna Burelli, Maria del Carmen Farías, Tamara Mazarraza, Marina de Tavira, Marco Antonio Treviño, Alicia Jaziz, Harold Torres, Alessio Valentini, Diego Cadavid, Hernán Del Riego",Mexico,"September 14, 2018",2018,2 Seasons
Hulk Vs.,"Sam Liu, Frank Paur","Fred Tatasciore, Matthew Wolf, Graham McTavish, Grey DeLisle, Kari Wahlgren, Bryce Johnson, Janyse Jaud, Jay Brazeau, Jonathan Holmes, Paul Dobson, Michael Adamthwaite, French Tickner, Nicole Oliver, Qayam Devji, Steve Blum, Mark Acheson, Colin Murdock, Nolan North, Tom Kane",United States,"June 1, 2020",2009,83 min
Step Sisters,Charles Stone III,"Megalyn Echikunwoke, Eden Sher, Lyndon Smith, Gage Golightly, Matt McGorry, Marque Richardson, Alessandra Torresani, Naturi Naughton, Nia Jervier, Robert Curtis Brown",United States,"January 19, 2018",2018,108 min
Invisible City,,"Marco Pigossi, Alessandra Negrini, Fábio Lago, Jéssica Córes, Jimmy London, Wesley Guimarães, Áurea Maranhão, Julia Konrad, Thaia Perez, Manu Dieguez, José Dumont, Tainá Medina, Rafael Sieg, Samuel de Assis, Victor Sparapane",Brazil,"February 5, 2021",2021,1 Season
Anwar,Manish Jha,"Siddharth Koirala, Nauheed Cyrusi, Manisha Koirala, Rajpal Yadav, Yashpal Sharma, Vijay Raaz, Hiten Tejwani, Sudhir Pandey, Sanjay Mishra, Lalit Tiwari",India,"December 31, 2019",2007,134 min
